"file","arousal","valence","potency","contempt"
"img_align_celeba/091741.jpg",6.48,82,50,31.425039
"img_align_celeba/120764.jpg",89.42,80.78,57.68,50.212864
"img_align_celeba/118575.jpg",85.42,93.52,66.38,15.065344
"img_align_celeba/111532.jpg",92,50,68,31.425039
"img_align_celeba/092074.jpg",40.5,51.98,51.98,58.0063599375
"img_align_celeba/163671.jpg",89.42,84.875,84.32,20.2506349375
"img_align_celeba/137137.jpg",88.955,78.875,50,0
"img_align_celeba/088080.jpg",89.42,78.875,32,59.04
"img_align_celeba/040764.jpg",96.08,75.5,63.02,0
"img_align_celeba/182202.jpg",82,46.08,36.98,0
"img_align_celeba/092719.jpg",91.18,82,23.12,0
"img_align_celeba/056985.jpg",91.18,40.5,50,0
"img_align_celeba/149226.jpg",88.48,84.32,82,66.637824
"img_align_celeba/069801.jpg",93.52,51.98,55.82,7.76318400000001
"img_align_celeba/088226.jpg",58.595,35.28,35.28,32.9198049375
"img_align_celeba/041201.jpg",86.995,46.08,66.38,13.2819999375
"img_align_celeba/079169.jpg",76.88,73.355,65.555,97.3095799375
"lfw/Ludivine_Sagnier/Ludivine_Sagnier_0001.jpg",99.82,94.22,30.42,21.925104
"img_align_celeba/132050.jpg",84.32,61.28,83.18,28.360704
"img_align_celeba/114192.jpg",58.595,33.62,44.18,7.76318400000001
"img_align_celeba/026077.jpg",73.355,28.88,28.88,58.0063599375
"img_align_celeba/183213.jpg",3.92,44.18,50,0
"img_align_celeba/166691.jpg",55.82,66.38,80.78,91.496944
"img_align_celeba/194114.jpg",89.42,55.82,30.42,0
"img_align_celeba/108596.jpg",96.08,57.68,71.12,0
"lfw/Svetislav_Pesic/Svetislav_Pesic_0001.jpg",84.32,67.195,31.205,0
"img_align_celeba/167348.jpg",91.18,50,46.08,0
"img_align_celeba/030910.jpg",42.32,76.195,77.555,85.223664
"img_align_celeba/052314.jpg",51.98,81.395,51.98,11.470719
"img_align_celeba/025369.jpg",84.32,33.62,30.42,3.94039900000001
"img_align_celeba/009379.jpg",80.78,78.22,80.78,42.710239
"lfw/Silvio_Fernandez/Silvio_Fernandez_0001.jpg",98.555,47.045,43.245,0
"img_align_celeba/056241.jpg",85.955,87.5,34.445,7.76318400000001
"img_align_celeba/036308.jpg",73.355,68,40.5,20.2506349375
"img_align_celeba/074569.jpg",71.12,83.18,50,0
